,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3946,3946,3946,3946,3946,3946,3946.0,3946,3946,3946.0,3946.0,3946,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946
unique,1,1,49,6,2,2,,3,4,,,2,,,,,,,,,3921
top,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8194-egana-style-nva
freq,3946,3946,789,1067,1978,3924,,3886,3931,,,3547,,,,,,,,,8
mean,,,,,,,-15.589711099847948,,,1872.6751140395338,-15.957425240750126,,10194.714647744551,134.6844906234161,3.2815509376583885,2.5433350228079066,0.9047136340598074,0.5306639635073492,0.4974657881398885,9386.627977698936,
std,,,,,,,4.4198177468361886,,,12970.178408005302,1.1437655374576545,,614953.7707259728,132.38921397680298,1.382325230877044,1.111649308605531,0.8859088873902502,0.5031685812375823,0.5000569442558052,5919.117432839485,
min,,,,,,,-16.0,,,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1090.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,82.0,70.0,2.0,2.0,0.0,0.0,0.0,4166.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,160.0,119.0,3.0,2.0,1.0,1.0,0.0,8500.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,340.0,170.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,72.0,,,220000.0,25.0,,38630000.0,5275.0,14.0,8.0,10.0,3.0,1.0,24990.0,
