,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3899.0,3899,3899,3899,3899,3899,3899,3899.0,3899,3899,3899.0,3899.0,3899,3899.0,3899,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899.0,3899
unique,,1,1,48,8,2,2,,6,7,,,2,,21,,,,,,,,,,,,,3879
top,,portal inmobiliario,rm,las condes,2020-07-23,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/7624-estoril-820-casas-nva
freq,,3899,3899,742,1500,1986,3863,,3826,3871,,,3550,,1251,,,,,,,,,,,,,5
mean,20200724.0,,,,,,,-15.509874326750449,,,2463.6255450115414,-15.90356501667094,,3.3590664272890485,,433.03795845088484,199.88048217491664,3.3652218517568606,2.68786868427802,0.3462426263144396,0.9571685047448064,0.5414208771479867,0.523211079764042,9725.48961272121,191.8294434470377,5146.7171069505,459.30264170300075,
std,0.0,,,,,,,5.247012143953384,,,17109.119062603175,2.7185271854530484,,1.5694383508913863,,1039.1619181557999,4008.5767531656015,1.3620906503378816,1.1806043478484367,0.4758326812038757,0.8994963444916373,0.5014244789000378,0.4995250174088172,5845.474770148057,1129.5738376893178,29687.255467639043,2459.7969466395966,
min,20200724.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,1.0,91.0,27.0,
25%,20200724.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,88.0,72.0,3.0,2.0,0.0,0.0,0.0,0.0,4513.0,57.0,1098.5,192.5,
50%,20200724.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,162.0,120.0,3.0,3.0,0.0,1.0,1.0,1.0,9322.0,74.0,2340.0,264.0,
75%,20200724.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,350.0,170.0,4.0,4.0,1.0,1.0,1.0,1.0,13500.0,92.0,4312.0,389.0,
max,20200724.0,,,,,,,100.0,,,300000.0,135.0,,5.0,,15000.0,250201.0,13.0,8.0,1.0,10.0,3.0,1.0,24990.0,24600.0,1763299.0,143942.0,
