,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3960.0,3960,3960,3960,3960,3960,3960,3960.0,3960,3960,3960.0,3960.0,3960,3960.0,3960,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960
unique,,1,1,48,6,2,2,,5,4,,,2,,21,,,,,,,,,,,,,3914
top,,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva
freq,,3960,3960,711,1570,1993,3943,,3909,3947,,,3504,,1375,,,,,,,,,,,,,6
mean,20200802.0,,,,,,,-15.618686868686869,,,1406.5535353535354,-15.968434343434344,,3.226010101010101,,10241.098737373737,138.13560606060605,3.279040404040404,2.533333333333333,0.3436868686868687,0.8782828282828283,0.5146464646464647,0.48484848484848486,9108.536868686868,72.99166666666666,97485.2393939394,6123.135606060606,
std,0.0,,,,,,,4.540024835212783,,,11282.325589049007,1.031831627463278,,1.5828329607896252,,613869.3098972512,225.11454364821992,1.4013543365774568,1.1327185332529173,0.4749980847642679,0.8924669051964945,0.5048765739270886,0.49983349313702274,5973.236354968346,82.66491049641711,5831777.350652251,353464.2086274028,
min,20200802.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1090.0,0.0,-468.0,-275.0,
25%,20200802.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,79.0,69.0,2.0,2.0,0.0,0.0,0.0,0.0,3774.5,54.0,958.0,193.0,
50%,20200802.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,156.0,115.0,3.0,2.0,0.0,1.0,1.0,0.0,7900.0,69.0,2113.0,266.0,
75%,20200802.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,336.0,170.0,4.0,3.0,1.0,1.0,1.0,1.0,12900.0,86.0,4126.0,382.0,
max,20200802.0,,,,,,,72.0,,,200000.0,25.0,,5.0,,38630000.0,10015.0,14.0,8.0,1.0,10.0,3.0,1.0,24990.0,3665.0,366988241.0,22241711.0,
