,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3930.0,3930,3930,3930,3930,3930,3930,3930.0,3930,3930,3930.0,3930.0,3930,3930.0,3930,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930
unique,,1,1,49,7,2,2,,5,7,,,2,,21,,,,,,,,,,,,,3864
top,,portal inmobiliario,rm,las condes,2020-08-03,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,,3930,3930,814,1370,1982,3883,,3848,3894,,,3569,,1302,,,,,,,,,,,,,6
mean,20200804.0,,,,,,,-15.5470737913486,,,2062.8396946564885,-15.9470737913486,,3.2900763358778624,,408.50508905852416,197.33078880407123,3.3017811704834608,2.55089058524173,0.3460559796437659,0.9244274809160306,0.5506361323155217,0.48931297709923666,9257.891603053435,81.15521628498728,4809.039949109415,452.59898218829517,
std,0.0,,,,,,,4.924727147505077,,,13645.081377558932,1.2405910943272689,,1.6051673506978348,,1049.0951495609577,3991.2652984498495,1.4689531121041102,1.1217920392029226,0.47577183214732266,0.8906280741492089,0.5020759676982054,0.4999493853328279,5835.28956247145,202.07839596571648,29768.22597766193,2427.9250546000967,
min,20200804.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1090.0,1.0,-468.0,-275.0,
25%,20200804.0,,,,,,,-16.0,,,-16.0,-16.0,,2.0,,85.0,70.0,2.0,2.0,0.0,0.0,0.0,0.0,4166.0,54.0,1041.0,194.0,
50%,20200804.0,,,,,,,-16.0,,,-16.0,-16.0,,4.0,,160.0,116.0,3.0,2.0,0.0,1.0,1.0,0.0,8400.0,71.0,2150.0,265.0,
75%,20200804.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,330.0,168.0,4.0,3.0,1.0,1.0,1.0,1.0,12900.0,89.0,4119.25,378.75,
max,20200804.0,,,,,,,100.0,,,220000.0,25.0,,5.0,,19000.0,250201.0,30.0,15.0,1.0,10.0,3.0,1.0,24990.0,9027.0,1763299.0,143942.0,
